study_code,group,completed_at_ms,liked_most,main_difficulty,privacy_comment,suggested_improvement,coded_theme
P-01X,INTERVENTION,1779539580000,The break reminders made me notice long scrolling sessions.,Some prompts appeared while I was still deciding whether to continue.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Let users choose quiet hours or a gentler prompt frequency.,Prompt timing and interruption
P-02Y,CONTROL,1779539760000,The risk summary helped me compare short and long scrolling sessions.,The numbers were useful but could use more plain-language labels.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,"Add weekly trends and clearer safe, warning, and critical explanations.",Dashboard usefulness
P-03X,INTERVENTION,1779539940000,The break reminders made me notice long scrolling sessions.,Some prompts appeared while I was still deciding whether to continue.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Let users choose quiet hours or a gentler prompt frequency.,Prompt timing and interruption
P-04Y,CONTROL,1779540120000,The dashboard still summarized my activity without saving raw posts.,Some sessions seemed harder for the app to interpret.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Make platform detection and sentiment reliability clearer in the dashboard.,Technical reliability
P-05X,INTERVENTION,1779540300000,The break reminders made me notice long scrolling sessions.,Some prompts appeared while I was still deciding whether to continue.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Let users choose quiet hours or a gentler prompt frequency.,Prompt timing and interruption
P-06Y,CONTROL,1779540480000,The dashboard still summarized my activity without saving raw posts.,Some sessions seemed harder for the app to interpret.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Make platform detection and sentiment reliability clearer in the dashboard.,Technical reliability
P-07X,INTERVENTION,1779540660000,The break reminders made me notice long scrolling sessions.,Some prompts appeared while I was still deciding whether to continue.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Let users choose quiet hours or a gentler prompt frequency.,Prompt timing and interruption
P-08Y,CONTROL,1779540840000,The risk summary helped me compare short and long scrolling sessions.,The numbers were useful but could use more plain-language labels.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,"Add weekly trends and clearer safe, warning, and critical explanations.",Dashboard usefulness
P-09X,INTERVENTION,1779541020000,The break reminders made me notice long scrolling sessions.,Some prompts appeared while I was still deciding whether to continue.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Let users choose quiet hours or a gentler prompt frequency.,Prompt timing and interruption
P-10Y,CONTROL,1779541200000,The dashboard still summarized my activity without saving raw posts.,Some sessions seemed harder for the app to interpret.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Make platform detection and sentiment reliability clearer in the dashboard.,Technical reliability
P-11X,INTERVENTION,1779541380000,The break reminders made me notice long scrolling sessions.,Some prompts appeared while I was still deciding whether to continue.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Let users choose quiet hours or a gentler prompt frequency.,Prompt timing and interruption
P-12Y,CONTROL,1779541560000,The dashboard still summarized my activity without saving raw posts.,Some sessions seemed harder for the app to interpret.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Make platform detection and sentiment reliability clearer in the dashboard.,Technical reliability
P-13X,INTERVENTION,1779541740000,The break reminders made me notice long scrolling sessions.,Some prompts appeared while I was still deciding whether to continue.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Let users choose quiet hours or a gentler prompt frequency.,Prompt timing and interruption
P-14Y,CONTROL,1779541920000,The risk summary helped me compare short and long scrolling sessions.,The numbers were useful but could use more plain-language labels.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,"Add weekly trends and clearer safe, warning, and critical explanations.",Dashboard usefulness
P-15X,INTERVENTION,1779542100000,The break reminders made me notice long scrolling sessions.,Some prompts appeared while I was still deciding whether to continue.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Let users choose quiet hours or a gentler prompt frequency.,Prompt timing and interruption
P-16Y,CONTROL,1779542280000,The dashboard still summarized my activity without saving raw posts.,Some sessions seemed harder for the app to interpret.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Make platform detection and sentiment reliability clearer in the dashboard.,Technical reliability
P-17X,INTERVENTION,1779542460000,The break reminders made me notice long scrolling sessions.,Some prompts appeared while I was still deciding whether to continue.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Let users choose quiet hours or a gentler prompt frequency.,Prompt timing and interruption
P-18Y,CONTROL,1779542640000,The setup steps were short once the service was enabled.,Accessibility permission wording was intimidating at first.,The permission screen needed more context before I felt comfortable enabling it.,Add a simple explanation before opening Android settings.,Permission and onboarding clarity
P-19X,INTERVENTION,1779542820000,The break reminders made me notice long scrolling sessions.,Some prompts appeared while I was still deciding whether to continue.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Let users choose quiet hours or a gentler prompt frequency.,Prompt timing and interruption
P-20Y,CONTROL,1779543000000,The setup steps were short once the service was enabled.,Accessibility permission wording was intimidating at first.,The permission screen needed more context before I felt comfortable enabling it.,Add a simple explanation before opening Android settings.,Permission and onboarding clarity
P-21X,INTERVENTION,1779543180000,The break reminders made me notice long scrolling sessions.,Some prompts appeared while I was still deciding whether to continue.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Let users choose quiet hours or a gentler prompt frequency.,Prompt timing and interruption
P-22Y,CONTROL,1779543360000,The setup steps were short once the service was enabled.,Accessibility permission wording was intimidating at first.,The permission screen needed more context before I felt comfortable enabling it.,Add a simple explanation before opening Android settings.,Permission and onboarding clarity
P-23X,INTERVENTION,1779543540000,The break reminders made me notice long scrolling sessions.,Some prompts appeared while I was still deciding whether to continue.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Let users choose quiet hours or a gentler prompt frequency.,Prompt timing and interruption
P-24Y,CONTROL,1779543720000,The setup steps were short once the service was enabled.,Accessibility permission wording was intimidating at first.,The permission screen needed more context before I felt comfortable enabling it.,Add a simple explanation before opening Android settings.,Permission and onboarding clarity
P-25X,INTERVENTION,1779543900000,The break reminders made me notice long scrolling sessions.,Some prompts appeared while I was still deciding whether to continue.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Let users choose quiet hours or a gentler prompt frequency.,Prompt timing and interruption
P-26Y,CONTROL,1779544080000,The setup steps were short once the service was enabled.,Accessibility permission wording was intimidating at first.,The permission screen needed more context before I felt comfortable enabling it.,Add a simple explanation before opening Android settings.,Permission and onboarding clarity
P-27X,INTERVENTION,1779544260000,The break reminders made me notice long scrolling sessions.,Some prompts appeared while I was still deciding whether to continue.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Let users choose quiet hours or a gentler prompt frequency.,Prompt timing and interruption
P-28Y,CONTROL,1779544440000,The risk summary helped me compare short and long scrolling sessions.,The numbers were useful but could use more plain-language labels.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,"Add weekly trends and clearer safe, warning, and critical explanations.",Dashboard usefulness
P-29X,INTERVENTION,1779544620000,The dashboard still summarized my activity without saving raw posts.,Some sessions seemed harder for the app to interpret.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Make platform detection and sentiment reliability clearer in the dashboard.,Technical reliability
P-30Y,CONTROL,1779544800000,The setup steps were short once the service was enabled.,Accessibility permission wording was intimidating at first.,The permission screen needed more context before I felt comfortable enabling it.,Add a simple explanation before opening Android settings.,Permission and onboarding clarity
P-31X,INTERVENTION,1779544980000,The setup steps were short once the service was enabled.,Accessibility permission wording was intimidating at first.,The permission screen needed more context before I felt comfortable enabling it.,Add a simple explanation before opening Android settings.,Permission and onboarding clarity
P-32Y,CONTROL,1779545160000,The risk summary helped me compare short and long scrolling sessions.,The numbers were useful but could use more plain-language labels.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,"Add weekly trends and clearer safe, warning, and critical explanations.",Dashboard usefulness
P-33X,INTERVENTION,1779545340000,The risk summary helped me compare short and long scrolling sessions.,The numbers were useful but could use more plain-language labels.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,"Add weekly trends and clearer safe, warning, and critical explanations.",Dashboard usefulness
P-34Y,CONTROL,1779545520000,The setup steps were short once the service was enabled.,Accessibility permission wording was intimidating at first.,The permission screen needed more context before I felt comfortable enabling it.,Add a simple explanation before opening Android settings.,Permission and onboarding clarity
P-35X,INTERVENTION,1779545700000,The risk summary helped me compare short and long scrolling sessions.,The numbers were useful but could use more plain-language labels.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,"Add weekly trends and clearer safe, warning, and critical explanations.",Dashboard usefulness
P-36Y,CONTROL,1779545880000,The risk summary helped me compare short and long scrolling sessions.,The numbers were useful but could use more plain-language labels.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,"Add weekly trends and clearer safe, warning, and critical explanations.",Dashboard usefulness
P-37X,INTERVENTION,1779546060000,The risk summary helped me compare short and long scrolling sessions.,The numbers were useful but could use more plain-language labels.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,"Add weekly trends and clearer safe, warning, and critical explanations.",Dashboard usefulness
P-38Y,CONTROL,1779546240000,The risk summary helped me compare short and long scrolling sessions.,The numbers were useful but could use more plain-language labels.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,"Add weekly trends and clearer safe, warning, and critical explanations.",Dashboard usefulness
P-39X,INTERVENTION,1779546420000,I liked that the export used study codes and aggregate numbers.,I still wanted more assurance that screenshots or captions were not stored.,"The aggregate-only design sounded good, but I wanted to see that clearly inside the app.",Show a privacy summary inside the app before monitoring starts.,Privacy and trust
P-40Y,CONTROL,1779546600000,The risk summary helped me compare short and long scrolling sessions.,The numbers were useful but could use more plain-language labels.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,"Add weekly trends and clearer safe, warning, and critical explanations.",Dashboard usefulness
P-41X,INTERVENTION,1779546780000,I liked that the export used study codes and aggregate numbers.,I still wanted more assurance that screenshots or captions were not stored.,"The aggregate-only design sounded good, but I wanted to see that clearly inside the app.",Show a privacy summary inside the app before monitoring starts.,Privacy and trust
P-42Y,CONTROL,1779546960000,The setup steps were short once the service was enabled.,Accessibility permission wording was intimidating at first.,The permission screen needed more context before I felt comfortable enabling it.,Add a simple explanation before opening Android settings.,Permission and onboarding clarity
P-43X,INTERVENTION,1779547140000,I liked that the export used study codes and aggregate numbers.,I still wanted more assurance that screenshots or captions were not stored.,"The aggregate-only design sounded good, but I wanted to see that clearly inside the app.",Show a privacy summary inside the app before monitoring starts.,Privacy and trust
P-44Y,CONTROL,1779547320000,The setup steps were short once the service was enabled.,Accessibility permission wording was intimidating at first.,The permission screen needed more context before I felt comfortable enabling it.,Add a simple explanation before opening Android settings.,Permission and onboarding clarity
P-45X,INTERVENTION,1779547500000,I liked that the export used study codes and aggregate numbers.,I still wanted more assurance that screenshots or captions were not stored.,"The aggregate-only design sounded good, but I wanted to see that clearly inside the app.",Show a privacy summary inside the app before monitoring starts.,Privacy and trust
P-46Y,CONTROL,1779547680000,The setup steps were short once the service was enabled.,Accessibility permission wording was intimidating at first.,The permission screen needed more context before I felt comfortable enabling it.,Add a simple explanation before opening Android settings.,Permission and onboarding clarity
P-47X,INTERVENTION,1779547860000,I liked that the export used study codes and aggregate numbers.,I still wanted more assurance that screenshots or captions were not stored.,"The aggregate-only design sounded good, but I wanted to see that clearly inside the app.",Show a privacy summary inside the app before monitoring starts.,Privacy and trust
P-48Y,CONTROL,1779548040000,The risk summary helped me compare short and long scrolling sessions.,The numbers were useful but could use more plain-language labels.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,"Add weekly trends and clearer safe, warning, and critical explanations.",Dashboard usefulness
P-49X,INTERVENTION,1779548220000,I liked that the export used study codes and aggregate numbers.,I still wanted more assurance that screenshots or captions were not stored.,"The aggregate-only design sounded good, but I wanted to see that clearly inside the app.",Show a privacy summary inside the app before monitoring starts.,Privacy and trust
P-50Y,CONTROL,1779548400000,The setup steps were short once the service was enabled.,Accessibility permission wording was intimidating at first.,The permission screen needed more context before I felt comfortable enabling it.,Add a simple explanation before opening Android settings.,Permission and onboarding clarity
